reference;name;family;price;category;description;disponibility;image;quantity;selled;sous_category;reste
371540;PATEE AU BOEUF PRIX MINI 300G;37; 700,00;Animalerie;;Oui;PATEE AU BOEUF PRIX MINI 300G.avif;100;0;Nourritures pour chien et chat;100
100088;CHAMPAGNE MOET IMPERIAL 750ML;28;45 000,00;Boissons;;Oui;moet_imperial.avif;100;0;Champagnes;100
100089;CHAMPAGNE DEMI-SEC BERNARD REMY 75CL;28;25 500,00;Boissons;;Oui;BERNARD_REMY.avif;100;0;Champagnes;100
1132563;JUS DE CITRON JAUNE U 250ML;23; 700,00;Boissons;;Oui;JUS_DE_CITRON JAUNE_U.avif;100;0;Jus de fruits;100
20068;WHISKY LABEL 5  75 CL(NG);22;5 300,00;Boissons;;Oui;WHISKY_LABEL.avif;100;0;Spiritueux;100
2100097;PORTO VALDOURO 10ANS PORT 75CL;21;11 000,00;Boissons;;Oui;PORTO_VALDOURO.avif;100;0;Vins;100
2100099;VIN ROUGE VIEUX CHTX DES JOUANS ST EMILION 2014;21;9 500,00;Boissons;;Oui;VIN ROUGE_VIEUX_CHTX_DES_JOUANS.avif;100;0;Vins;100
21002;VIN BLANC MOELLEUX LION DE TANESSE BORDEAUX L'AMOUR BORDEAUX 202075CL;21;8 500,00;Boissons;;Oui;VIN_BLANC_MOELLEUX_LION_DE_TANESSE.avif;100;0;Vins;100
2100212;VIN ROUGE BERGERAC 2020 75CL;21;3 500,00;Boissons;;Oui;VIN_ROUGE_BERGERAC.avif;100;0;Vins;100
21003;VIN ROSE CHATEAUX TANESSE BORDEAUX 2020 75CL;21;7 250,00;Boissons;;Oui;VIN_ROSE_CHATEAUX_TANESSE.avif;100;0;Vins;100
21006;VIN ROUGE RESERVE BORDEAU MERLOT CABERNET SAUVIGNON CALVET 75CL;21;6 500,00;Boissons;;Oui;VIN_ROUGE_RESERVE_BORDEAU_MERLOT.avif;100;0;Vins;100
210074;VIN BORDEAUX BLANC CHATEAU TANESSE;21;7 500,00;Boissons;;Oui;VIN_BORDEAUX_BLANC.avif;100;0;Vins;100
21007410;VIN BLANC MOELLEUX CHATEAU TANESSE BORDEAUX  75CL;21;8 500,00;Boissons;;Oui;VIN_BLANC_MOELLEUX_LION_DE_TANESSE_PALISSADES.avif;100;0;Vins;100
210097;VIN MOUSSEUX BRUT D'ARGENT ICE CHARDONNAY 75CL;21;7 300,00;Boissons;;Oui;VIN_MOUSSEUX_BRUT_D'ARGENT.avif;100;0;Vins;100
210098;VIN MOUSSEUX JP CHENET ICE ROSE 1.5L;21;8 500,00;Boissons;;Oui;VIN_MOUSSEUX_JP_CHENET_ICE_ROSE.avif;100;0;Vins;100
21009809;VIN BLANC GRENACHE SYRAH BRISE DE FRANCE 25 CL;21;1 480,00;Boissons;;Oui;VIN_BLANC_GRENACHE_SYRAH_BRISE_DE_FRANCE.avif;100;0;Vins;100
2100987;CREMANT D'ALSACE ARTHUR METZ DEMI SEC 75CL;21;9 500,00;Boissons;;Oui;CREMANT_D'ALSACE_ARTHUR_METZ_DEMI_SEC.avif;100;0;Vins;100
21011;VIN ROUGE LA CHEVALIERE PINOT NOIR 750ML;21;6 600,00;Boissons;;Oui;VIN_ROUGE_LA_CHEVALIERE_PINOT_NOIR.avif;100;0;Vins;100
21012;VIN ROUGE UNE JOURNEE SPECIALE 750ML;21;2 250,00;Boissons;;Oui;VIN_ROUGE_UNE_JOURNEE_SPECIALE_750ML.avif;100;0;Vins;100
210121;VIN ROSE MA BOHEME GRIS DE GRIS LE PIVE 202;21;7 900,00;Boissons;;Oui;VIN_ROSE_MA_BOHEME_GRIS.avif;100;0;Vins;100
21013;VIN PETILLANT MUSCADOR BLANC 75CL;21;3 600,00;Boissons;;Oui;VIN_PETILLANT_MUSCADOR_BLANC_75CL.avif;100;0;Vins;100
2101364;LIQUEUR MALIBU COCNUT 1L;21;7 100,00;Boissons;;Oui;LIQUEUR_MALIBU_COCNUT_1L.avif;100;0;Vins;100
210141;VIN BLANC MOUSSEUX BRACHETTO D'ACQUI;21;7 800,00;Boissons;;Oui;VIN_BLANC_MOUSSEUX_BRACHETTO_D'ACQUI.avif;100;0;Vins;100
210147;VIN ROUGE BARON ROMEO;21;1 900,00;Boissons;;Oui;VIN_ROUGE_BARON_ROMEO.avif;100;0;Vins;100
21017;VIN PETILLANT PIERLANT BLANC DE BLANCS BRUT FANTASIA NIGHT;21;5 600,00;Boissons;;Oui;VIN_PETILLANT_PIERLANT_BLANC_DE_BLANCS_BRUT.avif;100;0;Vins;100
21018;VIN PETILLANT MON BIJOU BRUT ROSE 75CL 11,5% VOL;21;3 300,00;Boissons;;Oui;VIN_PETILLANT_MON_BIJOU_BRUT_ROSE_75CL.avif;100;0;Vins;100
21019;VIN ROUGE DAMA 5 LITRI VILLANELLA 5L 10,5% VOL;21;13 000,00;Boissons;;Oui;VIN_ROUGE_DAMA_VILLANELLA_5L.avif;100;0;Vins;100
210193;VIN ROUGE LA BAUME MERLOT 75CL;21;7 000,00;Boissons;;Oui;VIN_ROUGE_LA_BAUME_MERLOT.avif;100;0;Vins;100
210196;VIN ROUGE CHATEAUX ROUSSEAU 75CL;21;5 600,00;Boissons;;Oui;VIN_ROUGE_CHATEAUX_ROUSSEAU_75CL.avif;100;0;Vins;100
21022;VIN DE BORDEAUX RESERVE DE MONSIEUR LOUIS 2013;21;6 000,00;Boissons;;Oui;VIN_DE_BORDEAU_RESERVE.avif;100;0;Vins;100
210234;VIN ROUGE MARQUIS DE BERN BORDEAUX SUPERIEUR 13.5% 150CL;21;13 000,00;Boissons;;Oui;VIN_ROUGE_MARQUIS_DE_BERN.avif;100;0;Vins;100
210236;VIN ROUGE 7.5% BAV SANGRIA PET 1L CARREFOUR;21;1 800,00;Boissons;;Oui;VIN_ROUGE_7.5__BAV_SANGRIA_PET.avif;100;0;Vins;100
210241;VIN ROUGE HARRIS PORTO 1995;22;21 250,00;Boissons;;Oui;VIN_ROUGE_HARRIS_PORTO.avif;100;0;Spiritueux;100
2102455;VIN ROUGE MARQUIS DE BERN 75CL;21;5 000,00;Boissons;;Oui;VIN _ROUGE_MARQUIS_DE_BERN_75CL.avif;100;0;Vins;100
21026;VIN BLANC CALVET SAUVIGNON  RESERVE  BORDEAUX  2013;21;5 200,00;Boissons;;Oui;VIN_BLANC_CALVET_SAUVIGNON_RESERVE.avif;100;0;Vins;100
21030;CHAMPAGNE TAITTINGER A REINS BRUT RESERVE 375ML;21;24 000,00;Boissons;;Oui;CHAMPAGNE_TAITTINGER_A_REINS_BRUT_RESERVE_375ML.avif;100;0;Vins;100
21031;CHAMPAGNE HENRI ABELE 1797 A REIMS BRUT 75CL;21;42 500,00;Boissons;;Oui;CHAMPAGNE_HENRI_ABELE.avif;100;0;Vins;100
210321;CHAMPAGNE TROUILLARD 1896 BRUT EXTRA SELECTION 375ML;21;22 500,00;Boissons;;Oui;CHAMPAGNE_TROUILLARD.avif;100;0;Vins;100
210331;CHAMPAGNE JM GOBILLARD & FILS A HAUTVILLERS 375ML;21;22 500,00;Boissons;;Oui;CHAMPAGNE_JM_GOBILLARD_FILS.avif;100;0;Vins;100
210354;VIN ROUGE CHATEAU DE LESTIAC 13.5% 75CL;21;5 700,00;Boissons;;Oui;VIN_ROUGE_CHATEAU_DE_LESTIAC.avif;100;0;Vins;100
2103540;VIN ROUGE HAUTVALLON 75CL;21;4 960,00;Boissons;;Oui;VIN_ROUGE_HAUTVALLON.avif;100;0;Vins;100
210355;VIN ROUGE CHATEAU DE LESTIAC BORDEAUX 2018 14% 25CL;21;2 800,00;Boissons;;Oui;VIN_ROUGE_CHATEAU_DE_LESTIAC_25CL.avif;100;0;Vins;100
210360;VIN BLANC MOELLEUX CH ROUSSEAU MONBAZILLAC;21;7 000,00;Boissons;;Oui;VIN_BLANC_MOELLEUX_CH_ROUSSEAU_MONBAZILLAC.avif;100;0;Vins;100
210365;VIN ROUGE CHATEAU GAILLARTEAU ROUGE 75CL;21;5 400,00;Boissons;;Oui;VIN_ROUGE_CHATEAU_GAILLARTEAU_ROUGE_75CL.avif;100;0;Vins;100
210410;VIN ROUGE SUPERIEUR CHATEAU MARSAN;21;8 500,00;Boissons;;Oui;VIN_ROUGE_SUPERIEUR_CHATEAU_MARSAN.avif;100;0;Vins;100
